period,region,con,arv_count
2013-08,Asia,Bangladesh,10341
2013-08,Asia,India,75112
2013-08,Asia,Nepal,1441
2013-08,Asia,Pakistan,2628
2013-08,Asia,Sri Lanka,10998
2013-08,Asia,Other Countries in South Asia,781
2013-08,Asia,Iran,1262
2013-08,Asia,Israel,1259
2013-08,Asia,Kuwait,2668
2013-08,Asia,Saudi Arabia,2778
2013-08,Asia,United Arab Emirates,3725
2013-08,Asia,Other Countries in West Asia,3878
2013-08,Europe,Austria,2738
2013-08,Europe,Belgium &  Luxembourg,2735
2013-08,Europe,Denmark,2468
2013-08,Europe,Finland,1282
2013-08,Europe,France,24892
2013-08,Europe,Germany,24250
2013-08,Europe,Greece,686
2013-08,Europe,Italy,14181
2013-08,Europe,Netherlands,9980
2013-08,Europe,Norway,2376
2013-08,Europe,Poland,2084
2013-08,Europe,Rep of Ireland,2624
2013-08,Europe,Russian Federation (CIS),5478
2013-08,Europe,Spain,6810
2013-08,Europe,Sweden,2435
2013-08,Europe,Switzerland,6459
2013-08,Europe,Turkey,1620
2013-08,Europe,UK,50148
2013-08,Europe,Other Countries in Eastern Europe,6185
2013-08,Europe,Other Countries in Western Europe,2522
2013-08,Oceania,Australia,73896
2013-08,Oceania,New Zealand,12242
2013-08,Oceania,Other Countries in Oceania,748
2013-08,Africa,Egypt,545
2013-08,Africa,Mauritius,667
2013-08,Africa,South Africa (Rep of),2089
2013-08,Africa,Other Countries in Africa,2925
2013-08,Not Stated,Not Stated,323
2013-09,Americas,Canada,8107
2013-09,Americas,USA,38008
2013-09,Americas,Other Countries in Americas,5499
2013-09,Asia,Brunei Darussalam,3853
2013-09,Asia,Indonesia,219679
2013-09,Asia,Malaysia,78457
2013-09,Asia,Myanmar,7283
2013-09,Asia,Philippines,50810
2013-09,Asia,Thailand,33219
2013-09,Asia,Vietnam,27877
2013-09,Asia,Other Countries in Southeast Asia,3394
2013-09,Asia,China,197456
2013-09,Asia,Taiwan,27609
2013-09,Asia,Japan,78883
2013-09,Asia,South Korea,37600
2013-09,Asia,Other Countries in North Asia,488
2013-09,Asia,Bangladesh,9655
2013-09,Asia,India,69855
2013-09,Asia,Nepal,1126
2013-09,Asia,Pakistan,1882
2013-09,Asia,Sri Lanka,7689
2013-09,Asia,Other Countries in South Asia,517
2013-09,Asia,Iran,1577
2013-09,Asia,Israel,1319
2013-09,Asia,Kuwait,748
2013-09,Asia,Saudi Arabia,829
2013-09,Asia,United Arab Emirates,1258
2013-09,Asia,Other Countries in West Asia,1689
2013-09,Europe,Austria,2426
2013-09,Europe,Belgium &  Luxembourg,2278
2013-09,Europe,Denmark,2528
2013-09,Europe,Finland,1852
2013-09,Europe,France,13745
2013-09,Europe,Germany,23391
2013-09,Europe,Greece,683
2013-09,Europe,Italy,6290
2013-09,Europe,Netherlands,7893
2013-09,Europe,Norway,2434
2013-09,Europe,Poland,1610
2013-09,Europe,Rep of Ireland,2384
2013-09,Europe,Russian Federation (CIS),5025
2013-09,Europe,Spain,3975
2013-09,Europe,Sweden,2580
2013-09,Europe,Switzerland,6104
2013-09,Europe,Turkey,1465
2013-09,Europe,UK,48868
2013-09,Europe,Other Countries in Eastern Europe,5267
2013-09,Europe,Other Countries in Western Europe,1538
2013-09,Oceania,Australia,97015
2013-09,Oceania,New Zealand,12782
2013-09,Oceania,Other Countries in Oceania,792
2013-09,Africa,Egypt,388
2013-09,Africa,Mauritius,483
2013-09,Africa,South Africa (Rep of),3353
2013-09,Africa,Other Countries in Africa,2411
2013-09,Not Stated,Not Stated,216
2013-10,Americas,Canada,10934
2013-10,Americas,USA,43251
2013-10,Americas,Other Countries in Americas,6503
2013-10,Asia,Brunei Darussalam,4351
2013-10,Asia,Indonesia,245814
2013-10,Asia,Malaysia,76880
2013-10,Asia,Myanmar,9001
2013-10,Asia,Philippines,64318
2013-10,Asia,Thailand,54797
2013-10,Asia,Vietnam,28087
2013-10,Asia,Other Countries in Southeast Asia,4225
2013-10,Asia,China,140104
2013-10,Asia,Taiwan,23970
2013-10,Asia,Japan,73814
2013-10,Asia,South Korea,42630
2013-10,Asia,Other Countries in North Asia,643
2013-10,Asia,Bangladesh,9705
2013-10,Asia,India,78614
2013-10,Asia,Nepal,1721
2013-10,Asia,Pakistan,2200
2013-10,Asia,Sri Lanka,7478
2013-10,Asia,Other Countries in South Asia,723
2013-10,Asia,Iran,1064
2013-10,Asia,Israel,1285
2013-10,Asia,Kuwait,870
2013-10,Asia,Saudi Arabia,1911
